Insert;Select;Update
241.47584223747253;234.14240550994873;250.93397760391235
300.769828081131;234.1948926448822;250.30001664161682
313.31498312950134;233.96008491516113;249.17756295204163
256.2101707458496;234.08506417274475;245.24344968795776
242.41069269180298;233.93076157569885;244.65035247802734
304.9422516822815;234.01899218559265;245.00691843032837
375.76811695098877;234.0540702342987;241.8888475894928
302.82510447502136;234.0065062046051;245.03860712051392
241.37659430503845;234.1631736755371;244.33272504806519
385.4895918369293;234.14770913124084;245.8822340965271
413.21199011802673;234.10375046730042;244.40063738822937
320.7473123073578;234.25702691078186;244.49413657188416
311.6552503108978;233.87948393821716;242.9803376197815
444.8988335132599;234.11607241630554;244.41120648384094
239.84029817581177;234.14853167533875;241.69986367225647
239.88741374015808;234.09845185279846;245.02991366386414
238.41199159622192;234.07156991958618;244.5003764629364
240.590678691864;234.10018157958984;252.15276193618774
241.8327775001526;233.9136996269226;246.24263262748718
244.05612421035767;234.09885668754578;244.74806332588196
243.89997911453247;234.18910098075867;244.324853181839
243.6822531223297;234.0146861076355;245.0116250514984
239.87335109710693;234.06940293312073;244.54766082763672
244.0389723777771;233.9580271244049;244.90125727653503
242.48960494995117;234.25780391693115;241.9875202178955
239.52785992622375;234.11564564704895;244.27859783172607
239.7581286430359;234.0367875099182;244.51361560821533
244.5283603668213;233.819167137146;242.88040232658386
244.02601194381714;233.92823719978333;244.99525618553162
244.63808917999268;233.9739532470703;245.93974709510803
243.78950262069702;234.2422387599945;244.71570229530334
248.46367239952087;233.99108004570007;244.91989850997925
241.56425857543945;234.14825654029846;241.73662042617798
241.32913947105408;234.0529820919037;244.62341022491455
244.26137256622314;233.960351228714;244.02529430389404
242.99202370643616;234.07020115852356;244.7156355381012
242.97608923912048;233.95846104621887;244.5110113620758
244.30649423599243;234.00760555267334;244.60790634155273
242.97474932670593;233.78482723236084;244.8883137702942
240.6076557636261;234.05449986457825;250.33938145637512
242.66443920135498;233.89687633514404;256.87543058395386
244.30614852905273;233.69385290145874;257.28980827331543
244.2640664577484;233.88046646118164;259.2162299156189
244.40120148658752;233.7039978504181;260.90752720832825
244.9492483139038;233.6796646118164;257.5666618347168
244.62241220474243;233.89931511878967;250.99937963485718
244.29341673851013;233.9615020751953;250.6710135936737
241.8451271057129;234.03643035888672;246.44736981391907
247.6334285736084;234.27479004859924;244.2472801208496
247.7086968421936;234.00297808647156;245.12045454978943
247.23974776268005;233.99482917785645;244.12145900726318
248.58344721794128;234.16152215003967;242.26945209503174
246.22416996955872;233.95885586738586;244.38592147827148
246.52243852615356;234.13435912132263;244.9939820766449
243.9328453540802;233.6444070339203;244.3309919834137
243.63305950164795;233.78826689720154;244.51089811325073
244.56008410453796;233.97396874427795;245.84975790977478
241.90829133987427;233.9762351512909;245.84902620315552
247.90538787841797;234.02031683921814;246.39458227157593
244.73986744880676;234.16334581375122;245.55924606323242
