Insert,Select,Update
243.26420974731445,237.81648540496826,247.49983072280884
247.6038055419922,237.94240832328796,247.6546585559845
255.44548559188843,235.57777047157288,247.15512371063232
246.54174041748047,236.26833820343018,244.0175404548645
246.52506232261658,238.99700450897217,246.60136818885803
243.82764387130737,238.4361391067505,243.70227789878845
246.6300847530365,239.68842196464539,247.44466352462769
243.68746662139893,239.6123719215393,243.89527988433838
247.05182099342346,239.64479041099548,246.89443492889404
244.08160591125488,240.05302238464355,243.86379384994507
246.66510367393494,239.26709604263306,254.02756643295288
243.08341073989868,240.29509925842285,244.36368107795715
246.8219678401947,238.92276287078857,247.71124696731567
244.5384979248047,239.3978636264801,244.12073469161987
246.84336590766907,239.24632692337036,246.22084975242615
243.99677729606628,239.6827268600464,243.34307217597961
246.7973666191101,238.91536021232605,246.6393473148346
243.9080729484558,240.7081778049469,244.31789374351501
247.34350442886353,239.14397025108337,247.30455946922302
243.58349537849426,240.03544545173645,243.369131565094
247.27911353111267,239.23964929580688,246.84645795822144
244.5526008605957,239.36986923217773,243.5859112739563
246.82682013511658,239.94551968574524,246.84889912605286
243.58680486679077,239.11369252204895,243.51095938682556
246.71287965774536,240.00707244873047,246.14957857131958
244.05597400665283,238.99592208862305,243.99014258384705
246.5129361152649,239.73778676986694,246.17060661315918
244.06359696388245,239.09069299697876,244.04673504829407
246.99236798286438,240.09390091896057,247.1341416835785
244.30141234397888,239.48138213157654,244.06997632980347
247.30132126808167,239.36209511756897,247.3258979320526
244.01803493499756,239.7632143497467,244.04334115982056
246.45236444473267,240.09405159950256,246.65824627876282
243.80497860908508,239.1882095336914,243.6993863582611
246.8273286819458,240.107839345932,246.78608226776123
243.59039783477783,239.766681432724,243.9525282382965
247.2988724708557,240.35419511795044,247.08126592636108
243.38541102409363,240.13118696212769,243.54674124717712
246.64480352401733,239.6333692073822,247.12257981300354
244.12362575531006,239.44031357765198,246.9117271900177
244.5332386493683,238.6915009021759,243.64238452911377
246.89673614501953,239.87905740737915,246.36537313461304
244.1104860305786,240.14313626289368,243.7860972881317
246.07353949546814,239.18436980247498,246.44950437545776
244.32416796684265,240.1140959262848,244.53846335411072
246.74736738204956,240.2491750717163,246.977778673172
244.40317940711975,239.0603129863739,243.9050543308258
247.8831968307495,239.29397797584534,246.1611351966858
244.41383481025696,239.02321195602417,243.83215188980103
247.05759263038635,239.56265377998352,244.11884927749634
246.5345494747162,239.2559733390808,247.0673267841339
243.806964635849,240.11875867843628,246.72474765777588
244.31690526008606,239.4701795578003,243.94008374214172
246.62375855445862,240.1179449558258,246.9588143825531
244.80032539367676,238.9076428413391,244.6800684928894
247.06878066062927,239.98937511444092,246.63890314102173
244.3828194141388,239.59928154945374,243.95929837226868
247.25313639640808,239.09909105300903,246.6564064025879
243.45800280570984,239.5412380695343,243.6155982017517
246.3549463748932,239.34471368789673,246.35233211517334
